ranking,title,score,date
1,씽2게더,9.39,20220505
2,극장판 귀멸의 칼날: 무한열차편,9.27,20220505
3,극장판 주술회전 0,9.26,20220505
4,피아니스트의 전설,9.25,20220505
5,벤허,9.23,20220505
6,파수꾼,9.18,20220505
7,코다,9.14,20220505
8,와이키키 브라더스,9.11,20220505
9,비긴 어게인,9.04,20220505
10,개를 훔치는 완벽한 방법,9.00,20220505
11,남매의 여름밤,8.95,20220505
12,중경삼림,8.90,20220505
13,바닷마을 다이어리,8.73,20220505
14,귀향,8.67,20220505
15,세자매,8.67,20220505
16,안경,8.64,20220505
17,라라랜드,8.62,20220505
18,공기살인,8.58,20220505
19,나쁜 교육,8.46,20220505
20,드라이브 마이 카,8.43,20220505
21,신은 죽지 않았다 3: 어둠 속의 빛,8.32,20220505
22,어나더 라운드,8.29,20220505
23,수퍼 소닉2,8.28,20220505
24,멋진 하루,8.22,20220505
25,언어의 정원,8.18,20220505
26,문라이즈 킹덤,8.12,20220505
27,루이스 웨인: 사랑을 그린 고양이 화가,7.97,20220505
28,날씨의 아이,7.96,20220505
29,한여름의 판타지아,7.80,20220505
30,니 부모 얼굴이 보고 싶다,7.72,20220505
31,스펜서,7.71,20220505
32,미나리,7.57,20220505
33,디어 에반 핸슨,7.46,20220505
34,앵커,7.31,20220505
35,닥터 스트레인지: 대혼돈의 멀티버스,7.21,20220505
36,신비한 동물들과 덤블도어의 비밀,6.51,20220505
37,로스트 시티,6.12,20220505
38,노회찬6411,6.05,20220505
39,서울괴담,4.69,20220505
